id,gender,needs-review,notes
1799:52,Man,,
1799:53,Woman,,
1799:54,Woman,,
1799:55,Woman,,
1799:56,Woman,,
1799:57,Man,,
1799:58,Man,,
1799:59,Man,,Same as 1799:58
1799:60,Man,,Same as 1799:58
1799:61,Man,,
1799:62,Man,,"Same as 1799:61
"
1799:63,Man,,Same as 1799:61
1799:64,Man,,
1799:65,Man,checked,
1799:66,Woman,,
1799:67,Woman,,
1799:68,Woman,,Same as 1799:67
1799:69,Man,,
1799:70,Woman,,
1799:71,Woman,,
1799:72,Woman,,
1799:73,Woman,,
1799:74,Woman,,Same as 1799:73
1799:75,Man,,
1799:76,Man,,
1799:77,Woman,,
1799:78,Woman,,
1799:79,Woman,,Same as 1799:78
1799:80,Woman,,
1799:81,Man,,
1799:82,Man,checked,
1799:83,Woman,,
1799:84,Woman,,
1799:85,Man,checked,
1799:86,Woman,,
1799:87,Woman,,
1799:88,Man,,
1799:89,Woman,,
1799:90,Woman,,
1799:91,Man,,
1799:92,Woman,checked,
1799:93,Woman,,
1799:94,Man,,
1799:95,Woman,,
1799:96,Man,checked,
1799:97,Man,checked,
1799:98,Man,checked,
1799:99,Woman,,
1836:1,Unknown,,
1836:2,Unknown,,
1836:3,Unknown,,
1836:4,Woman,,
1836:5,Unknown,,
1836:6,Unknown,,
1836:7,Man,checked,
1836:8,Man,checked,
1836:9,Man,,
1836:10,Woman,,
1836:11,Woman,,Two women
1836:12,Man,,
1836:13,Woman,,
1836:14,Man,,
1836:15,Woman,,
1836:16,Woman,,
1836:17,Woman,,
1836:18,Man,,
1836:19,Man,,Same as 1836:18
1836:20,Man,,
1836:21,Man,,
1836:22,Man,,
1836:23,Man,,
1836:24,Man,checked,
1836:25,Woman,,
1836:26,Woman,,
1836:27,Man,checked,
1836:28,Man,,
1836:29,Woman,,
1836:30,Woman,,Same as 1836:29
1836:31,Man,,
1836:32,Man,checked,
1836:33,Man,,
1836:34,Man,,
1836:35,Man,,
1836:36,Man,,
1836:37,Man,,
1836:38,Man,,
1836:39,Woman,,
1836:40,Man,,
1836:41,Woman,,
1836:42,Man,,
1836:43,Woman,,
1836:44,Man,,
1836:45,Woman,,
1836:46,Man,,
1836:47,Man,,Same as 1836:46
1836:48,Man,,Same as 1836:46
1836:49,Woman,,
1836:50,Man,,
1836:51,Man,,
1836:52,Unknown,checked,
1836:53,Man,,
1836:54,Unknown,,
1836:55,Woman,,
1836:56,Woman,,
1836:57,Man,,
1836:58,Man,,Same as 1836:57
1836:59,Man,,
1836:60,Man,,
1836:61,Woman,,
1836:62,Woman,,
1836:63,Woman,,
1836:64,Man,,
1836:65,Woman,,
1836:66,Man,,
1836:67,Man,,
1836:68,Woman,,
1836:69,Woman,,
1836:70,Man,,
1836:71,Woman,,
1836:72,Woman,,
1836:73,Woman,,
1836:74,Man,,
1836:75,Woman,,
1836:76,Man,,
1836:77,Man,checked,
1836:78,Man,,
